E N1,3 N1,4 1.172826
E N1,4 N2,4 5.932056
E S3 N0,3 4.299377
E N2,0 N3,0 0.163260
E N1,2 N2,2 7.548097
E N1,1 N1,2 1.066517
C4 1 2.132363
E N1,1 N2,1 6.380819
E N1,3 N2,3 3.298782
C1 1 2.151518
E N0,1 N0,2 4.901013
E S4 N0,4 8.992185
S3 4 C0 C1 C2 C3
E S1 N0,1 8.249418
E N3,0 N3,1 2.662990
E N0,3 N0,4 4.275116
E N3,2 N3,3 9.641938
E N2,4 N3,4 7.884153
E N2,1 N3,1 4.332995
S1 4
E N3,1 N3,2 5.542620
E N2,3 N3,3 5.826549
E N0,1 N1,1 5.425529
E N3,4 EXIT 1
E S2 N0,2 4.550144
E N0,2 N1,2 2.687040
E N0,3 N1,3 7.440508
E N2,3 N2,4 2.959007
E N1,2 N1,3 2.444460
E N0,0 N0,1 3.362234
C3 1 3.594381
E N3,3 N3,4 3.266988
S0 4
E N2,2 N2,3 8.721534
C2 1 0.348432
C6 1 1.121940
E N1,0 N2,0 5.354470
S2 4
E S0 N0,0 9.212855
S4 4
C5 1 2.969648
E N0,0 N1,0 4.570216
E N0,4 N1,4 5.581108
E N1,0 N1,1 4.684760
E N2,1 N2,2 3.362951
E N2,0 N2,1 7.601465
C0 1 2.476376
E N0,2 N0,3 0.460302
E N2,2 N3,2 1.793759

