C0 4 2.517767
C1 4 0.206838
C2 4 0.523994
C3 3 0.138131
C4 4 2.050099
C5 2 4.505985
S0 8 C0 C1
S1 8 C2 C3
S2 8 C4 C5
S3 3
S4 3
E S0 N13 0.136841
E S1 N95 2.700749
E S2 N82 5.274290
E S3 N9 6.026774
E S4 N10 7.770612
E N2 N1 0.635083
E N4 N0 7.954555
E N7 N4 9.594400
E N9 N2 2.735664
E N16 N0 6.775330
E N16 N15 4.691219
E N18 N0 0.085771
E N18 N9 0.582043
E N18 N12 3.089931
E N18 N16 9.763850
E N19 N6 8.428790
E N20 N11 9.984869
E N20 N15 6.667694
E N21 N12 9.636663
E N21 N16 7.141779
E N22 N2 7.811377
E N22 N9 8.243340
E N22 N21 9.340200
E N24 N16 2.904189
E N25 N14 8.673063
E N27 N23 8.855476
E N27 N25 5.710444
E N28 N5 0.184943
E N28 N14 8.633009
E N31 N28 3.783581
E N32 N15 8.800141
E N32 N20 4.663257
E N32 N25 2.104335
E N32 N31 2.739198
E N33 N0 7.147622
E N33 N6 2.639300
E N33 N11 9.023256
E N33 N20 0.206155
E N34 N7 7.270779
E N34 N12 4.051759
E N34 N14 9.840189
E N34 N31 8.778753
E N36 N25 7.566581
E N37 N34 5.155381
E N38 N2 3.655690
E N38 N4 6.095064
E N38 N30 0.969044
E N38 N31 7.665225
E N38 N34 8.083095
E N38 N36 0.071186
E N39 N0 8.883694
E N39 N2 3.282109
E N39 N23 8.107643
E N40 N14 4.680847
E N40 N32 5.473233
E N41 N34 7.025129
E N42 N11 2.921670
E N42 N30 5.219146
E N43 N0 0.177113
E N43 N20 9.583900
E N45 N2 1.096087
E N45 N37 2.822697
E N45 N39 0.705351
E N45 N44 3.547004
E N46 N5 0.794639
E N46 N17 4.292825
E N46 N30 7.458831
E N47 N6 9.235324
E N47 N10 6.347918
E N47 N25 0.377013
E N47 N26 6.635921
E N47 N45 9.968109
E N48 N12 0.195650
E N49 N1 2.373131
E N49 N10 5.901351
E N49 N23 2.868118
E N49 N33 8.796820
E N50 N12 9.159398
E N50 N20 9.871463
E N51 N9 4.300816
E N51 N13 1.622129
E N51 N24 8.834176
E N51 N32 1.547245
E N51 N42 1.647542
E N52 N3 2.532264
E N52 N6 8.797619
E N52 N31 8.912775
E N53 N35 5.364113
E N53 N42 3.363593
E N54 N8 2.245606
E N54 N14 7.664916
E N54 N33 6.398634
E N55 N7 0.146988
E N55 N9 8.712692
E N55 N49 5.291729
E N56 N33 5.922602
E N56 N34 5.408896
E N57 N8 3.774335
E N57 N20 4.947046
E N57 N47 0.615487
E N57 N50 2.017468
E N58 N3 5.900428
E N58 N17 0.659704
E N58 N38 5.644620
E N58 N46 2.342099
E N58 N57 0.640666
E N59 N33 9.212267
E N59 N47 8.638214
E N59 N54 5.907229
E N60 N19 8.020050
E N60 N45 6.039816
E N60 N51 7.254540
E N60 N52 6.889629
E N61 N15 6.892030
E N61 N53 0.410009
E N62 N33 6.549628
E N62 N52 0.391414
E N63 N5 5.460528
E N63 N26 4.733274
E N63 N54 4.534340
E N64 N19 0.843819
E N64 N37 7.265830
E N64 N42 3.522951
E N64 N53 7.946626
E N65 N11 9.767103
E N65 N26 0.187283
E N65 N28 9.473427
E N65 N42 1.125955
E N65 N58 7.152643
E N66 N25 5.144326
E N66 N33 1.151717
E N66 N34 3.985951
E N66 N43 6.019075
E N66 N44 5.391747
E N66 N64 0.474262
E N67 N5 9.258365
E N67 N18 8.449628
E N67 N36 7.526932
E N67 N53 5.027616
E N67 N56 9.876720
E N68 N23 1.791201
E N68 N42 2.919278
E N68 N49 4.619911
E N68 N53 9.641352
E N69 N5 3.943969
E N69 N43 9.414121
E N69 N58 4.177159
E N70 N11 2.026623
E N71 N33 4.030647
E N71 N38 5.661281
E N71 N39 3.214715
E N71 N58 2.313475
E N71 N59 1.255528
E N72 N1 7.042743
E N72 N17 7.218981
E N72 N36 9.272598
E N72 N51 1.394294
E N73 N8 6.774646
E N73 N20 5.224304
E N73 N25 0.845900
E N73 N58 9.972651
E N74 N6 0.106051
E N74 N17 2.512474
E N74 N18 5.567873
E N74 N48 6.696172
E N74 N52 7.870852
E N75 N0 9.135763
E N75 N45 3.839503
E N75 N49 1.920528
E N76 N16 8.056079
E N76 N33 1.369092
E N76 N44 3.863294
E N76 N51 8.558169
E N76 N54 6.063258
E N76 N56 4.397270
